YAS bootstrap deployment report
run_id=20260708T062940Z
started_at=2026-07-08T06:29:40Z
mode=best-effort
timeout=10m

TIMESTAMP	PHASE	COMPONENT	RESULT	DETAIL
2026-07-08T06:29:45Z	startup	prerequisites	SKIPPED	SKIP_PREREQUISITES=true
2026-07-08T06:29:52Z	01-operators	yas-bootstrap-operators	READY	Synced and Healthy
2026-07-08T06:29:55Z	01-operators	postgres-operator	READY	Synced and Healthy
2026-07-08T06:29:58Z	01-operators	strimzi-operator	READY	Synced and Healthy
2026-07-08T06:30:01Z	01-operators	eck-operator	READY	Synced and Healthy
2026-07-08T06:30:04Z	01-operators	keycloak-operator	READY	Synced and Healthy
2026-07-08T06:30:08Z	02-infrastructure	yas-bootstrap-core-infrastructure	READY	Synced and Healthy
2026-07-08T06:30:11Z	02-infrastructure	postgresql	READY	Synced and Healthy
2026-07-08T06:30:13Z	02-infrastructure	redis	READY	Synced and Healthy
2026-07-08T06:30:16Z	02-infrastructure	elasticsearch	READY	Synced and Healthy
2026-07-08T06:30:28Z	03-initialization	yas-bootstrap-initialization	READY	Synced and Healthy
2026-07-08T06:30:33Z	04-platform	yas-bootstrap-platform	READY	Synced and Healthy
2026-07-08T06:30:37Z	04-platform	kafka	READY	Synced and Healthy
2026-07-08T06:30:39Z	04-platform	keycloak	READY	Synced and Healthy
2026-07-08T06:30:41Z	04-platform	pgadmin	READY	Synced and Healthy
2026-07-08T06:32:03Z	03-connectors	yas-bootstrap-connectors	READY	Synced and Healthy
2026-07-08T06:32:09Z	04-configuration	yas-bootstrap-configuration	READY	Synced and Healthy
2026-07-08T06:32:12Z	04-configuration	yas-configuration-dev	READY	Synced and Healthy
2026-07-08T06:32:15Z	04-configuration	yas-configuration-staging	READY	Synced and Healthy
2026-07-08T06:32:18Z	05-workloads	bootstrap	FAILED	Stopped in 05-workloads; exit code 1

outcome=FAILED
finished_at=2026-07-08T06:32:18Z
last_phase=05-workloads

ARGO CD APPLICATION SNAPSHOT
NAME                                SYNC        HEALTH     REVISION                                                                  MESSAGE
backoffice-bff-dev                  Synced      Degraded   <none>                                                                    <none>
backoffice-bff-staging              Synced      Degraded   <none>                                                                    <none>
backoffice-ui-dev                   Synced      Degraded   <none>                                                                    <none>
backoffice-ui-staging               Synced      Healthy    <none>                                                                    <none>
cart-dev                            Synced      Healthy    <none>                                                                    <none>
cart-staging                        Synced      Healthy    <none>                                                                    <none>
cert-manager                        Synced      Healthy    v1.12.0                                                                   <none>
customer-dev                        Synced      Healthy    <none>                                                                    <none>
customer-staging                    Synced      Healthy    <none>                                                                    <none>
eck-operator                        Synced      Healthy    3.4.1                                                                     <none>
elasticsearch                       Synced      Healthy    <none>                                                                    <none>
grafana-operator                    Synced      Healthy    sha256:2544a2de962bbe263cdabb389a3e802211fedcad6b784d74150d33f5e40a9fd9   <none>
inventory-dev                       Synced      Healthy    <none>                                                                    <none>
inventory-staging                   Synced      Healthy    <none>                                                                    <none>
kafka                               OutOfSync   Healthy    <none>                                                                    KafkaConnector/debezium-connector-postgresql-product-db-staging is part of applications argocd/kafka and yas-bootstrap-connectors
keycloak                            Synced      Healthy    <none>                                                                    <none>
keycloak-operator                   Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
location-dev                        Synced      Degraded   <none>                                                                    <none>
location-staging                    Synced      Healthy    <none>                                                                    <none>
loki                                Synced      Healthy    <none>                                                                    <none>
media-dev                           Synced      Healthy    <none>                                                                    <none>
media-staging                       Synced      Healthy    <none>                                                                    <none>
opentelemetry-operator              Synced      Healthy    0.118.0                                                                   <none>
order-dev                           Synced      Healthy    <none>                                                                    <none>
order-staging                       Synced      Healthy    <none>                                                                    <none>
payment-dev                         Synced      Healthy    <none>                                                                    <none>
payment-paypal-dev                  Synced      Degraded   <none>                                                                    <none>
payment-paypal-staging              Synced      Degraded   <none>                                                                    <none>
payment-staging                     Synced      Healthy    <none>                                                                    <none>
pgadmin                             Synced      Healthy    <none>                                                                    <none>
postgres-operator                   Synced      Healthy    1.15.1                                                                    <none>
postgresql                          Synced      Healthy    <none>                                                                    <none>
product-dev                         Synced      Healthy    <none>                                                                    <none>
product-staging                     Synced      Healthy    <none>                                                                    <none>
prometheus                          Synced      Degraded   <none>                                                                    <none>
promotion-dev                       Synced      Healthy    <none>                                                                    <none>
promotion-staging                   Synced      Healthy    <none>                                                                    <none>
promtail                            Synced      Healthy    <none>                                                                    <none>
rating-dev                          Synced      Healthy    <none>                                                                    <none>
rating-staging                      Synced      Healthy    <none>                                                                    <none>
recommendation-dev                  Synced      Healthy    <none>                                                                    <none>
recommendation-staging              Synced      Healthy    <none>                                                                    <none>
redis                               Synced      Healthy    <none>                                                                    <none>
sampledata-dev                      Synced      Healthy    <none>                                                                    <none>
sampledata-staging                  Synced      Healthy    <none>                                                                    <none>
search-dev                          Synced      Degraded   <none>                                                                    <none>
search-staging                      Synced      Degraded   <none>                                                                    <none>
storefront-bff-dev                  Synced      Degraded   <none>                                                                    <none>
storefront-bff-staging              Synced      Degraded   <none>                                                                    <none>
storefront-ui-dev                   Synced      Degraded   <none>                                                                    <none>
storefront-ui-staging               Synced      Healthy    <none>                                                                    <none>
strimzi-operator                    Synced      Healthy    1.1.0                                                                     <none>
swagger-ui-dev                      Synced      Healthy    29d797be1d3acd6fa072622a739470820b341750                                  <none>
swagger-ui-staging                  Synced      Healthy    29d797be1d3acd6fa072622a739470820b341750                                  <none>
tax-dev                             Synced      Healthy    <none>                                                                    <none>
tax-staging                         Synced      Healthy    <none>                                                                    <none>
tempo                               Synced      Healthy    <none>                                                                    <none>
webhook-dev                         Synced      Healthy    <none>                                                                    <none>
webhook-staging                     Synced      Healthy    <none>                                                                    <none>
yas-bootstrap-configuration         Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-bootstrap-connectors            Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-bootstrap-core-infrastructure   Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-bootstrap-initialization        Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-bootstrap-operators             Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-bootstrap-platform              Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-bootstrap-workloads             Synced      Healthy    2c4136c95f3e4db8731068916f2cfa4f1d67807c                                  <none>
yas-configuration-dev               Synced      Healthy    29d797be1d3acd6fa072622a739470820b341750                                  <none>
yas-configuration-staging           Synced      Healthy    29d797be1d3acd6fa072622a739470820b341750                                  <none>
yas-root                            Synced      Healthy    9038e4236070aa67d1867e58bbb6bae3f2e9cb0e                                  <none>
zookeeper                           Synced      Healthy    <none>                                                                    <none>
