YAS bootstrap deployment report
run_id=20260708T080049Z
started_at=2026-07-08T08:00:49Z
mode=best-effort
timeout=10m

TIMESTAMP	PHASE	COMPONENT	RESULT	DETAIL
2026-07-08T08:00:53Z	startup	prerequisites	SKIPPED	SKIP_PREREQUISITES=true
2026-07-08T08:01:00Z	01-operators	yas-bootstrap-operators	READY	Synced and Healthy
2026-07-08T08:01:05Z	01-operators	postgres-operator	READY	Synced and Healthy
2026-07-08T08:01:08Z	01-operators	strimzi-operator	READY	Synced and Healthy
2026-07-08T08:01:10Z	01-operators	eck-operator	READY	Synced and Healthy
2026-07-08T08:01:13Z	01-operators	keycloak-operator	READY	Synced and Healthy
2026-07-08T08:01:16Z	02-infrastructure	yas-bootstrap-core-infrastructure	READY	Synced and Healthy
2026-07-08T08:01:19Z	02-infrastructure	postgresql	READY	Synced and Healthy
2026-07-08T08:01:21Z	02-infrastructure	redis	READY	Synced and Healthy
2026-07-08T08:01:24Z	02-infrastructure	elasticsearch	READY	Synced and Healthy
2026-07-08T08:02:28Z	03-initialization	yas-bootstrap-initialization	READY	Synced and Healthy
2026-07-08T08:02:33Z	04-platform	yas-bootstrap-platform	READY	Synced and Healthy
2026-07-08T08:02:37Z	04-platform	kafka	READY	Synced and Healthy
2026-07-08T08:02:40Z	04-platform	keycloak	READY	Synced and Healthy
2026-07-08T08:02:46Z	04-platform	pgadmin	READY	Synced and Healthy
2026-07-08T08:16:58Z	03-connectors	yas-bootstrap-connectors	FAILED	Synced/Degraded: 
2026-07-08T08:16:58Z	03-connectors	bootstrap	FAILED	Stopped in 03-connectors; exit code 1

outcome=FAILED
finished_at=2026-07-08T08:16:58Z
last_phase=03-connectors

ARGO CD APPLICATION SNAPSHOT
NAME                                SYNC     HEALTH        REVISION                                                                  MESSAGE
backoffice-bff-dev                  Synced   Degraded      <none>                                                                    <none>
backoffice-bff-staging              Synced   Degraded      <none>                                                                    <none>
backoffice-ui-dev                   Synced   Degraded      <none>                                                                    <none>
backoffice-ui-staging               Synced   Healthy       <none>                                                                    <none>
cart-dev                            Synced   Healthy       <none>                                                                    <none>
cart-staging                        Synced   Healthy       <none>                                                                    <none>
cert-manager                        Synced   Healthy       v1.12.0                                                                   <none>
customer-dev                        Synced   Healthy       <none>                                                                    <none>
customer-staging                    Synced   Healthy       <none>                                                                    <none>
eck-operator                        Synced   Healthy       3.4.1                                                                     <none>
elasticsearch                       Synced   Healthy       <none>                                                                    <none>
